Key,RA,DEC,K,Kerr,J-K,J-Kerr,#obs,class,pmRA,pmDEC,parallax,errpmRA,errpmDec,errparallax
0,19:44:47,-14:46:39.4,15.531,0.012,0.96,0.018,2,-2,0.234,0.686,0.055,0.495,0.42,0.2812
0,19:44:47,-14:52:11.3,15.495,0.012,0.928,0.018,2,-2,0.467,0.32,-0.509,0.487,0.44,0.274
0,19:44:47,-14:46:27.4,15.108,0.009,1.048,0.015,2,-2,-0.214,-0.464,0.041,0.454,0.38,0.268
0,19:44:48,-14:52:15.8,14.454,0.006,1.107,0.01,2,-2,0.094,-0.142,-0.083,0.351,0.312,0.2004
0,19:44:47,-14:42:56.4,15.397,0.007,1.1,0.012,4,-2,-0.298,-0.889,0.331,0.794,0.621,0.4101
0,19:44:47,-14:44:08.2,15.035,0.009,1.131,0.015,2,-2,-0.312,0.157,0.515,0.631,0.564,0.3566
0,19:44:48,-14:50:52.9,13.287,0.003,1.112,0.005,2,-2,-0.478,0.099,0.035,0.198,0.171,0.1137
0,19:44:48,-14:45:18.4,14.019,0.005,1.02,0.008,2,-2,0.265,-0.101,-0.23,0.226,0.19,0.131
0,19:44:48,-14:51:02.8,15.31,0.011,0.998,0.017,2,-2,-0.415,-0.618,-0.452,0.471,0.428,0.2626
0,19:44:50,-14:53:27.7,15.439,0.012,0.953,0.018,2,-2,0.128,0.595,-0.102,0.502,0.45,0.2847
0,19:44:50,-14:50:45.4,15.675,0.014,0.923,0.021,2,-2,-0.726,-0.47,-0.183,0.596,0.523,0.3453
0,19:44:50,-14:44:10.4,14.122,0.005,0.999,0.008,2,-2,-0.222,0.304,0.085,0.285,0.239,0.1635
0,19:44:51,-14:55:33.9,15.215,0.01,1.081,0.016,2,-2,-0.651,-0.532,0.335,0.625,0.544,0.3785
0,19:44:51,-14:46:14.5,14.795,0.007,1.008,0.011,2,-2,-0.044,-0.299,0.179,0.386,0.343,0.2165
0,19:44:51,-14:50:36.7,14.91,0.008,1.051,0.013,2,-2,0.346,-0.392,0.685,0.487,0.44,0.2643
0,19:44:51,-14:52:27.2,14.837,0.008,1.123,0.013,2,-2,0.441,0.549,0.298,0.459,0.414,0.2656
0,19:44:51,-14:43:55.8,12.577,0.002,1.011,0.004,2,-2,-0.098,0.037,-0.132,0.216,0.183,0.1209
0,19:44:52,-14:46:57.2,15.332,0.011,1.18,0.019,2,-2,0.094,1.909,1.691,1.165,0.994,0.7857
0,19:44:52,-14:48:58.1,14.714,0.007,1.125,0.012,2,-2,0.573,-0.086,-0.299,0.455,0.382,0.256
0,19:44:52,-14:44:29.8,14.34,0.006,1.027,0.009,2,-2,0.304,-0.137,-0.373,0.274,0.232,0.1593
0,19:44:52,-14:43:20.5,13.479,0.002,1.087,0.004,4,-2,-1.049,-0.223,0.539,0.257,0.213,0.1486
0,19:44:52,-14:45:24.4,15.591,0.013,0.901,0.02,2,-2,0.062,-0.399,-0.041,0.58,0.534,0.3101
0,19:44:53,-14:53:06.8,15.188,0.01,0.93,0.015,2,-2,-0.52,-0.433,0.074,0.377,0.341,0.2084
0,19:44:53,-14:54:07.0,15.423,0.011,0.996,0.018,2,-2,0.666,0.822,0.356,0.479,0.425,0.2803
0,19:44:53,-14:45:24.7,14.141,0.005,1.069,0.009,2,-2,-0.161,-0.223,-0.13,0.343,0.307,0.2005
0,19:44:53,-14:50:54.8,15.43,0.012,0.992,0.018,2,-2,0.835,0.865,-0.567,0.51,0.452,0.291
0,19:44:54,-14:52:46.4,15.137,0.009,0.961,0.014,2,-2,0.142,-0.316,-0.397,0.439,0.389,0.2512
0,19:44:53,-14:45:40.4,14.972,0.008,1.011,0.013,2,-2,0.011,0.211,-0.135,0.48,0.418,0.2653
0,19:44:53,-14:45:52.8,14.07,0.005,1.023,0.008,2,-2,0.059,-0.329,-0.23,0.235,0.21,0.1282
0,19:44:54,-14:46:18.2,14.125,0.005,1.154,0.009,2,-2,0.341,0.546,0.111,0.35,0.305,0.2122
0,19:44:54,-14:52:48.4,15.144,0.009,0.998,0.014,2,-2,-0.319,-0.152,-0.106,0.413,0.352,0.2301
0,19:44:54,-14:53:04.1,14.239,0.005,1.034,0.009,2,-2,-0.478,-0.411,0.137,0.266,0.229,0.1581
0,19:44:54,-14:43:42.1,14.68,0.007,0.954,0.011,2,-2,0.005,0.467,-0.027,0.303,0.253,0.1737
0,19:44:55,-14:52:46.9,14.298,0.005,1.01,0.009,2,-2,-0.018,-0.208,-0.083,0.252,0.22,0.1479
0,19:44:54,-14:50:04.9,15.112,0.009,1.002,0.014,2,0,-0.339,-0.386,0.079,0.45,0.406,0.2532
0,19:44:54,-14:48:06.5,13.329,0.003,1.131,0.005,2,-2,-0.437,0.036,-0.101,0.21,0.182,0.1145
0,19:44:55,-14:46:07.4,15.23,0.01,1.004,0.016,2,-2,0.04,0.067,0.479,0.6,0.555,0.2967
0,19:44:55,-14:52:16.7,14.252,0.005,1.032,0.009,2,-2,-0.067,-0.076,-0.071,0.299,0.26,0.1762
0,19:44:55,-14:52:29.6,15.188,0.01,0.928,0.015,2,-2,0.002,0.161,0.209,0.405,0.353,0.2364
0,19:44:55,-14:50:55.5,15.119,0.009,1.169,0.016,2,-2,-0.567,0.032,0.07,0.69,0.591,0.3771
0,19:44:55,-14:46:36.1,15.525,0.012,1.003,0.019,2,-2,-0.133,-0.083,-0.094,0.527,0.483,0.2973
